,0
503,steps take develop effective executive selection process changes top director staffing selection louis
504,amid volatile market nonqualified plans continue key element many companies overall retirement savings program common among large companies programs popular average nearly two thirds eligible employees participate reports psca boston research group survey
505,despite favorable job market new doctors unhappy choice profession survey found percent said would select another field education
506,graduates earning business degrees saw overall average salary rise percent september average
507,suit store sporting goods retailer also says managers locations including houston area louisiana made overtly racially derogatory remarks acknowledging discriminatory practices including hiring black candidates fit corporate profile said agency
508,listed alphabetical order published june
509,want start adopting behavioral interviews concept trouble thinking suitable questions learn character traits behavioral questions help get information necessary traits high energy level integrity ownership
510,start big picture overview drill tactical actions
511,acid test whether requirements relate work done
512,develop diverse applicant pools recruiting registered nurses advertising minority journals costly nurse recruiters find minority applicants
513,want figure return investment job postings aim cutting recruitment costs trying calculate
514,several entry level job openings administrative medical assistants problem face getting qualified candidates apply tried posting local online job bank well web site even interviewed people referred local community colleges associate degree programs six months fewer applicants five qualified enough grant interview seem positions warrant expense recruiter publicize job openings recruit candidates cost effective way
515,narrowed search new employee two candidates like call back second interviews make right hiring choice
516,interview questions could use elicit information applicant character courage vision
517,like start implementing stay interviews kinds questions asking convince managers interviews important
518,want revise goals small team recruiters lot hiring selective setting new goals based quality fill time hire metrics
519,recruitment guidelines give line managers involved recruiting hiring process get ask right questions follow right processes procedures
520,small midsize firms encourage employees get specialized training help winning clients
521,launch branchout july beknown google plus made debuts june recruiters trying decide best use dizzying array tools find top talent
522,increase job likelihood noticed practitioners must first research keywords commonly used relates position
523,recent study found half student interns returned employers permanent positions
524,suppose unemployed applicants charge hired unemployment status could allege despite absence written policy hiring managers abide unwritten policy exclude unemployed applicants company leaders particular prepared
525,professionals education experience important companies placing premium demonstrated accomplishments
526,company says acquisition expand geographic reach give leading position united kingdom canada brazil
527,growing frustration prospective hires professionalism honesty compensation demands managers also see deficient passion industry
528,big recruitment surge mid followed hiring freeze lasting average employee age nasa exceeded less percent federal agency workers
529,although recruiters formally trained onomatology studies shown consciously candidates sometimes assessed basis name
530,experts contend employers increasingly discriminate jobless americans hiring decisions practices could violate equal opportunity laws
531,start thinking like director sales monitor volume sales funnel close candidates quickly got chance
532,additionally manpowergroup solutions brand company recruitment process outsourcing managed service provider complex solutions offerings
533,part sleuth part stalker sourcers researchers use traditional means find job candidates unconventional ways social media networking
534,general motors chrysler commit hiring engineers apiece finding managing talent come steep price
535,brokerage business finally returning normal recruitment drive could tough slog recruiting environment gotten far difficult worst financial crisis fades memory
536,economy beginning pick companies position hire rpo providers bounding plate wielding heavy bat
537,survey answered recruiters recruiting managers senior recruiting officials
538,top reasons given anticipated staff increases next year percent cited business expansion percent cited anticipated increases volume percent said understaffed
539,continental plans recruit primarily engineering natural science majors well graduates business economics
540,organizations enter workplace ranking programs variety reasons attract qualified candidates others see opportunity get feedback well well
541,philosophy corporate culture source competitive advantage along defined mission adherence values existed several decades yet many companies struggled implement concepts create mission statements value propositions hang wall
542,shop moved application process onto twitter demonstrate thinking marketing world digital social media lens agency said
543,liability top mind whole industry dedicated telling pros get companies sued avoid much advice well intentioned valuable occasionally feels like fear mongering
544,pantex recruiters convince candidates bright future rather unglamorous field nuclear weapons storage living dusty remote panhandle texas destination rather career stopover
545,employers protect legal liability arising hiring independent contractors adhering guidelines
546,companies continue push make current employees top source new talent
547,experience seems run counter national trends company posted several jobs internally candidates applied really wow jobs require least high school diploma equivalent although lower level jobs provide competitive pay solid benefits given high unemployment situation expected top notch candidates available openings especially since recruited externally used employee referral program instead jobs remain vacant frustrated inferior candidates alone experience choosy recruit better applicants
548,catch checking credit applicant unemployed months may choice rack debt fall behind paying bills
549,despite daunting figures recent survey recruiters insist try carefully review sum receive main thing draws recruiter attention proof job
550,methods strategies used recruit salaried positions requiring shift work particularly new college grads
551,public sector organization help non managers improve hiring skills often asked handle personnel related issues determining whether candidates competencies necessary perform job however little formal training organization centralized approach expertise delivering type training
552,employers try put best face organization recruit campus fall search fresh talent
553,company holds top spot selling power best companies list recruiting tried true approach sourcing assessment first year pay opportunities
554,targeted high school students film lauded rare effort good advertising industry often criticized lack diversity
555,thirty eight percent human resource managers said spend less minute reviewing resume percent said spend less seconds
556,author shares ideas quick staffing including use social media
557,applicants requested send job acknowledgement letters work related mail address common practice business today seems risky maybe
558,aside problem defining inherently governmental functions difficulty returning jobs civil servants nearly enough
559,hiring team perilous process recent startups track record rely projecting either revenue needed pay new employees business demand additional hires would help meet
560,unemployment still high job market loaded candidates including plenty blue chip prospects tempt ceos may may able afford
561,incentives sales staff may vary incentives entrepreneurs clear investing sales marketing boost revenue help small business survive downturn even decision hire staff painful
562,part job board part social network bay area based koda built premise millennials internet savvy social animals rather bookmark one online destination scanning open positions swapping job hunting stories troll individual company career centers god forbid use facebook anything hanging
563,want start college recruitment program year consider launching initiative
564,officeteam survey included telephone interviews senior managers companies employees
565,growing number companies adopting new recruitment metric measures meaningful strategic contribution good hires opposed hires fail deliver
566,company geographic region suffering high unemployment result house recruiters keep pace hundreds sum desperate job seekers receive week standard response recruiter contact people opportunity discuss stopped people telephoning search information calls becoming frequent confrontational handle want fair people seeking work simply lack staff give personal attention sum time worried overlooking potentially promising candidate
567,listed alphabetical order published june
568,returning workforce increasing trend current economy need fill financial gap along desire feel needed employers know motivation extremely high stay home parents truly ready launch back work full commitment
569,university researchers assert resentment lateral hiring unjustified damaging workers economy angered employers
570,incentive plan elements recommend house recruiter health care industry want provide incentives recruitment clinical professionals physicians dentists considering incentive plan house recruiters help achieve goal good idea incentives consider offering
571,recruiting staffs decimated recession recruiters shouldering heavy requisition loads
572,percent employers reported difficulty filling key positions
573,need establish strategic plan become world class staffing recruiting department unfortunately historical data previous recruiting managers got tossed simple tips begin ambitious plan
574,number net new reps advisors declined considerably first quarter lpl cfo says swing independent advice longer term trend
575,rare days company buy relocated employee home sell quickly lump sum relocation costs probably common strategy
576,spite tight recruiting budgets recruiting salary numbers seem show one thing recession may completely hiring definitely looks better
577,use site free unemployed professional registers registrants four michigan counties providing funding macomb clair livingston oakland home chrysler group rise top employee searches
578,securities industry sector exhibited weakness march shedding jobs losses securities may indicative continued consolidation big firms could severance packages expiring
579,research human resources management curriculum got wondering statistics available average percentages internal promotion versus external recruitment need know relative merits approach compile learning programs top performers
580,scores applicants every position companies afford extremely choosy hiring getting right people bus
581,goal outsourcing save money hiring another company work business without compromising quality see outsourcing right solution first consider whether function core part business
582,recruiters must able strike balance art relationship building networking knowledge sharing influence science sourcing research executive assessment
583,working poor families project report profiles states shape policies program efforts boost supply skilled workers connecting low income low skilled adults construction related skills development programs increase employer commitment demand hiring workers paying family sustaining wages
584,even small firms customized testing fine tune hire attitude approach made famous several multibillion dollar companies
585,study based survey private sector human resources professionals manufacturing service sector firms
586,minority owned staffing firm partners non minority owned staffing firm best way tips tools techniques help ensure partnership successful
587,currently looking approach campus recruiting program hope find creative ways improve benchmarking others best class corporate practices campus recruiting
588,experts agree eeoc federal courts soon require evidence based screening hiring policies hiring bars people criminal records must grounded substantive research actual risk recidivism
589,employers soon asked provide empirical evidence screening hiring practices based assumptions workplace criminality hard pressed find
590,client best chance landing retaining candidate details discussed orally agreed upon anything put writing point written offer merely becomes confirmation letter
591,small midsize companies grabbing high caliber executives cut loose big companies due recession fitting big fish smaller pond takes planning
592,consensus things get worse get better economy completely recover year staffing executives expect improve starting see light end tunnel
593,news ends months speculation future hotjobs strengthens monster hand time job boards fending new forms competition including recruitment techniques tap social networking
594,james gorman remarks morgan stanley report lower broker turnover came day bank america revealed headcount broker merrill lynch global wealth management group also stabilized
595,looking inexpensive ways find new talent accounts major job boards past spent enormous sums print advertising use agencies minimal success main focus finding registered nurses looking take careers another direction patient care gone nursing schools posted jobs luck probably looking experienced nurses need creative recruiting ideas present management although hiring freeze want ready hit ground running begin hiring
596,recession escalated growing doubts efficacy sum based process recruiting active passive candidates
597,agreement teach america competitors helped organizations grow serve common mission
598,jennifer gomez recently named hedge fund practice head david barrett partners believes things looking executive search firms focus hedge funds investment banks like
599,although overall unemployment high critical shortages workers key positions shortages drive higher turnover long job searches higher salaries plan determining organization key critical positions foundation talent management strategy rebounding economy
600,commentary take someone rely weekly job fairs strip malls fill open positions fast growing chain better way hire thanks unlimited recruiting potential social media holy trinity twitter facebook linkedin
601,companies know problem companies spending billions dollars per year recruitment advertising
602,commentary want alignment business better way get force everyone recruit client group serve
603,hiring picking recruiters asked recalibrate upper management teams find leaders skills strengths drastically different ceos manned companies want risk turnaround specialists corner office experience impeccable professional personal records
604,recruitment process outsourcing grown percent far year one analyst predicts growth hit percent
605,hiring still static lethargic executive recruiter says expect situation remain stagnant long
606,recruiting staffs running fumes vast numbers workers applying every open position employers cutting sourcing dangerously low levels
607,recession corporate wariness toward business travel dampened market confabs related people management
608,job board announced results oriented pricing thursday june calling pay per candidate
609,recruiters find cost effective solutions sourcing minority candidates partnering internship organizations
610,need drone need stellar talent best way find behavioral interviewing five questions focused competencies separate players pretenders
611,one question survey used ceridian employees questions include satisfied job described interview process compared actually
612,looks like nothing found location maybe try search
613,looks like nothing found location maybe try search
614,never seen amazing film since saw shawshank redemption shawshank encompasses friendships hardships hopes dreams great movie moves gives hope even though circumstances characters viewers quite different feel far removed characters going simple film yet everlasting message frank darabont need put kind outlandish special effects get love film narration acting movie win seven oscars beyond let sway see film let ranking imdb top list sway let friends recommendation movie sway set aside little two hours tonight rent movie finally understand everyone talking understand time favorite movie
615,tell movie famous tell movie parodies spinned storyline tell one movie quoted much answer movie much impact godfather ever since released acting simply amazing else could say could appealing people even today watching actors like pacino marlon brando james caan diane keaton talia shire robert duvall like heaven someone fan movies movie brando able bring back limelight performance godfather alone iconic character recreated much films almost already become clich performance though clich performance subtle breathtaking genuine realistic probably definitely genuine marlon brando pacino perfect film well way start career character depth displayed perfectly able display inner battles mind well battles family friends enemies character psychological character study anything else robert duvall glue movie added different perspective everything italian yet respect mafia character man high authority within corleone family listened insightful simply perfect giving film great balance throughout rest cast icing cake writing phenomenal breathtaking mentioned movie quoted even quotes though makes writing perfect symbolism meaning went every scene countless symbols messages lines memorable yet realistic movie could get directing coppola perfect well many movies hours yet maintain good level interest audience like godfather coppola deserves credit symbolism messages went every scene also directing writing movie well edited strung together word could come mind perfection cinematography music perfect score movie one memorable ever hear could identify right away cinematography actually really drove movie godfather seems mystique gives feeling watching something truly remarkable horse head scene brando running groceries coffee shop scene give offer refuse countless scenes quotes movie become part culture scenes lines recycled comedies commercials etc impossible avoid greatness godfather godfather like disease see fall love know greatest movie ever definitely iconic film ever made
616,original godfather brilliant work sense voyeuristic delight allowing see mafia inside become part family single handedly change world view organized crime created cast sympathetic characters none shred common morality highest grossing movie time brando created cultural icon whose influence resonates strong today extraordinary achievement part even better easily receives nod best picture ever made seen least times time minutes fly movie uses flashbacks brilliantly weave two tales main story reign michael corleone world powerful criminal reaping benefits legalized gambling las vegas michael evident billionaire iron fist world treachery behind director francis ford coppola spins tale rise michael father vito center new york mafia scenes make film work art without spoiling simply say robert deniro young vito best acting performance time role richly deserved oscar screenplay full delicious little underworld nuggets keep friends close want kill everyone enemies blows dense twisted plot past dizzying merciless pace cinematography depressing atmospheric score continues eerie role predecessor foretelling death evil makes movie great infinitely watchable deeper inside film really true genius godfather part really movie mafia movie man life long struggle michael controls vast empire constantly slipping hands grows increasingly distrustful paranoid even shows signs hates life michael almost seems resent fact natural born crime lord man puts family business ahead everything great michael corleone never come terms one simple fact father empire built love respect michael empire built fear violent treachery see movie three half hours well spent
617,believe dark knight could live hype perhaps biggest surprise secret believe stunning mature intelligent script makes best superhero movie ever made enough heath ledger newest tragic modern icons present preview something never see fearless extraordinary actor capable fill humanity even grotesque villains performance master class fortunately christian bale batman almost supporting character bale good something around mouth stops great dark knight visually stunning powerful moving else could anyone want
618,spielberg numero uno director schmaltzy cinema thought saving private ryan ultimate good guys save poor soul one outdoes ryan every conceivable heart tugging noble humanity fashion view film accurate history private ryan guide historical accuracy spielberg characteristic heartstrings keeps tugging next expect new pollyanna spielberg day problem spielberg characterizations people either black white inbetweens allowed even old adolph presented way makes human regardless makes shakespeare genius plays never failed see sides personality spielberg characterizations cartoons could really good movie acknowledged humanity every person realistic
619,saying film starts two towers left somewhat misleading film starts great distance walls helm deep return king opens flashback smeagol andy serkis obtaining one ring power origin deterioration creature gollum opening recaptures emphasis somewhat lost within epic battles two towers ring first installment fellowship ring provided heaps exposition ring importance influence return king see pay big time armies isengard defeated due allegiance theoden bernard hill king rohan elves main threat middle earth concentrated kingdom mordor controlled dark lord sauron sauron turned eye towards realm gondor last free kingdom men wizard gandalf ian mckellan must warn denethor john noble steward gondor impending attack aragorn viggo mortenson heir throne gondor theoden gather men aid armies mordor dark lord sauron needs regain one ring power conquer middle earth two hobbits frodo elijah wood ring bearer sam sean astin must continue journey directed gollum mount doom place ring destroyed got need bone lord rings expecting follow film since three epics filmed simultaneously individually feel part larger picture except one return king big epic set epic films director peter jackson brilliantly constructed characters plotlines throughout first two films puts use characters best moments within film pair mischievous hobbits merry dominic monaghan pippin billy boyd longer tree ornaments two towers split take characters completely new directions aragorn played unmatched sense honor viggo mortenson meet destiny future king men andy serkis continues expert portrayal gollum serkis provided voice gollum also assisted production acting scenes computer generated character fellow actors however real acting triumph film elijah wood frodo baggins continues descent corruption incredible talent many could pull wood performance critical film determines ring power corrupt needless say absolute first two films established jackson incredible visionary shooting vast landscapes native new zealand return king jackson really gets chance show hands beautiful visuals trilogy jackson makes return king gorgeous feast eyes never resorting mcg level topness jackson stays grounded characters letting effects tell story assist wonderful dialogue characters think return mix fellowship two towers enough action character development worthy ending film event magnitude bottom line fans films disappointed hardcore tolkien lovers might upset plot changes interpretations made jackson writers however unrealistic expect completely true adaptation novels film entirely different medium despite alterations jackson consistently stays true major themes ideas original text adding finest filmmaking ever put screen lord rings return king one finely tuned cinematically perfect films ever made best trilogy crowning achievement epic filmmaking
620,put context years old say best film seen without doubt expect beaten far concerned obviously times move acknowledge due violence one particularly uncomfortable scene film everyone still remember watching first time blew away anyone watches remember actually changed history cinema context followed decade action films always ended chase sequence hero saved day could written films pulp gripped credited audience intelligence line wasted dialogue movie incorporates number complexities immediately obvious also resurrected career grease icon john travolta highlighted acting talent samuel jackson many films edited sequence multiple plots etc one want want beat never
621,sure going comment film everything already said hundreds people posted thoughts decided really put two cents since favorite movie film opinion greatest spaghetti western time greatest movie time period regardless genre could probably watch every day perfectly happy music perfection way music drives movie absolutely amazing musical genius morricone incredible direction sergio leone combination probably never equaled theme song forever etched brain fact probably already even seen movie scene tuco runs graveyard song ecstacy gold pure poetry showdown end great music incredible story riveting single dull moment movie long leone direction good love fact enjoy movie three hours lee van cleef favorite spaghetti western actor incredible angel eyes part born play eli wallach perfect tuco really shines movie people say steals show see think eastwood excellent blondie although think eastwood strong presence van cleef know many disagree three actors superb film split hairs movie hypnotic operatic sad funny gritty violent art action pure entertainment film incredible many different levels everyone see regardless kinds movies cool greatest flick ever happens spaghetti western seen movie stop get
622,first saw previews movie interested movie guys fight seem deep thought would provide entertainment heard buzz friends raved days convinced see movie went local video store picked last remaining dvd popped sat amazement last credit rolled watched movie dark disturbing however equally smart stylistic found hard watch points turn eyes away fight club makes many bold statements modern consumer driven society produces norton best performance pitt second best monkeys norton plays average joe living dead end life needs something change life tyler marla take care want give away comments tell suggest let sink watching ending rival sixth sense blows away one best movie endings seen even better pixies fan important worry hearing movie clockwork orange came met mixed reviews deemed dark violent considered classic two movies share quite bit common based great books read either get politicians use movie demonstration careless consequenceless violence movies perfect example today youth influenced watch movie watch intelligent friends
623,dom cobb leads highly skilled team specializing stealing secrets people minds entering dreams hired mysterious businessman cobb finally shot redemption achieving near impossible rather stealing idea must complete opposite inception planting seed idea inception multi layered plot quite literally fact focuses emotional journey lead character cobb time thrusts audience multiple levels action packed story telling distinct one another finely connected described critics film rewards intellect assure exactly director christopher nolan challenges audience keep rewards breathtaking spectacle one capability leave awestruck best part may feel need watch able fully absorb experience chances probably want christopher nolan brings unique vision screen help star studded cast including likes leonardo dicaprio departed joseph gordon levitt days summer ellen page juno marion cotillard public enemies cillian murphy batman begins michael caine dark knight well amazing photography long time collaborator wally pfister thrilling music film provided none hans zimmer also set mood nolan previous film dark knight may seem simple outset inception extremely complex film delving deep subconscious human mind technical brilliance visual splendor rarely blended together beautifully emotional depth explosive action complement perfectly delivering film time heart wrenching heart pounding film manages engross complexities yet comes together seamlessly edge seat quite literally start finish inception magnificent
624,empire strikes back best film original star wars trilogy great qualities original star wars great effects time release appealing characters lots spellbinding action also eliminated problems plagued first storyline tighter goes much deeper character development performances terrific especially harrison ford han solo billy dee williams lando calrissian george lucas also remembered include spellbinding battle sequence snowspeeder sequence near beginning film conclusion lightsaber duel darth vader luke skywalker truly one suspenseful dramatic scenes entire series truly wondrous film serves constant reminder movie expensive blockbuster mean shallow two dimensional film undoubtedly entertain viewers ages start finish
625,surprise peter jackson fellowship ring film received mixed critics many viewers refer childish boring uninteresting seems bound fate tolkien books destined target type misunderstandings keep attacking literary masterpiece many decades first publication read books several years ago went see impossible film came many doubts mind really liked left theater many doubts perfect well maybe achievement watching times dvd thinking time find loving film let tell lord rings fairy tale myth fantasy peter jackson directed film considered long time impossible make technical reasons narrative roots incredibly long detailed storyline deeply connected creation fantastic continent time unknown called middle earth author tolkien dedicated considerable part life developing continent background mythology origins different kinds people cultures languages therefore geographic references determinant unfolding story one ring peter jackson went achieve impossible came recreation original pure true story every detail first time four hobbits meet black rider road example absolutely faithful feeling book assault riders weathertop another great example captures feeling danger density atmosphere main characteristics tale jackson also took liberties story made right choices along way called purists may approve removal tom bombadil altogether comprehensible travel hobbiton rivendel long detailed one could easily make movie felt uneasy short council elrond book council whole story rings first explained many passages past ages middle earth unveiled fascinating moment story shortened obvious reasons still consideration agree options made peter jackson think movie prologue narrated galadriel wisest choice magic gandalf shuts eyes moment frodo stands council says take ring moria gate fall boromir powerful film fit rhythm standard hollywood action movie film breeds takes time unfold tale branching every direction could talking different elements bring film close perfection end saying deep action beards big monsters greatest thing film brought back time love different world everything possible reading lord rings night night came understand thing mankind really corruption absolute power importance value friendship inevitability growing strength hope film could capture magic new bearer message humanism statement greatness gandalf words even smallest person may change course world part play destiny immortal end wonderful film mean going like cannot tell like see film know love book hope may plant seed heart discover great world fantasy beauty humanity believe tolkien would liked
626,believe everyone right opinion films topics however lot comments read film think many got gist message author film maker film great modern fable fable dictionary defined brief fictitious story teaches moral many morals defined film foremost integrity simple goodness half brother grew southern one occasion discussing film said felt portrayed southerners dimwitted disagreed informed author native southerner setting central story lets tale unfold tying factual events fable film wonderfully directed robert zemeckis film opus acted great cast levels children forrest gump gump haley joel osment say want feel tom hanks deserved oscar award gary sinise synonymous dan whenever hear words sally fields loving dutiful mother challenging situation mykelti williamson bubba gives real sense story gump genuine friend moves character words grasp full performance robin wright penn jenny jennys tenderness pain palpable exhibited wright feel much gumps appeal downright sense right thing regardless people situations around see film case maybe wish could little like trying maintain innate goodness trade offs often make lifes highways movie drama comedy challenges societal norms well almost endless quotes movie slipped everyday speech numerous say point one toppers movie forrest quandary life wondering dan said destiny mom says floating around like feather wind forrest character terms well quote think little bit experiences life appear way seen movie see soon real treat like give try hopefully see great story
627,film revolves around city god favela ghetto rio janeiro brazil horrifying area drug dealers run community children killing children uncommon occurrence story begins early stages city god showing many problems stem extreme poverty overcrowding etc early stages favela meet main characters along supporting cast story revolves mainly around two characters living favela rocket lil take two different paths life rocket dream become photographer escape city god lil becomes powerful gang leader drug dealer film offers unflinching look gang life city god follows favela three decades shows violence spirals violence disturbingly high amounts violence favela involving teenagers children direction cinematography editing oscar worthy cinematography best ever seen visceral jerky feel reminiscent saving private ryan editing frantic makes feel like streets city god direction flawless seamlessly blending many elements story film definitely one best films ever seen story direction cinematography editing acting add make excellent movie would recommend would also recommend bus carandiru
628,jack nicholson great actor great actor spectacular actor film fairly early career well several actors film later long great careers including danny devito christopher lloyd brad dourif film unforgettable moments could forget louise fletcher icy stare jack nicholson smart aleck remarks sampson impressive almost entirely silent performance film portrays horrible truth patients treated mental institutions back tells story someone desperately wanted break rebel change things others compelled film first frame never took eyes definitely thinking film thought great way one first frames depicted institution something far similar prison hospital milos forman great job making contrast powerful viewer film moving truly beautiful cinematic experience every single actor gives stellar performance every single character perfectly written every single line every single frame absolutely perfect change thing film great pace never lose interest never seems rushing get either simply perfect read original book ever come across might check seen film definitely watch many times years come recommend amazing piece great cinema anyone least slight interest drama genre fan actors absolute prime film
629,far back remember always wanted gangster henry hill brooklyn gangsters around everyone knows everyone wants accept goodfellas based true events explores lives gangsters chronicling events eyes henry hill ray liotta gets involved mafia young age continues career throughout film gets older marries children still works organized crime family mob boss paulie paul sorvino friends jimmy robert niro calm steady gangster tommy joe pesci wild man serious mental problems eventually henry life goes gutter leading drug abuse paranoia leads unfortunate incidents ruined type goodfellas one best films ever seen tour force breathtaking images witty scriptwriting superb acting realistic violence robert niro gives one best performances ever jimmy even film much might lead believe front cover joe pesci movie much niro maybe bit less screen doubting screen hard miss short deranged loud mouthed man something wrong head someone makes insult toward shoots laughs quite disturbing huge fan pesci tend love characters really makes feel sick towards character goodfellas time taking strange liking goes show good actor pesci ray liotta perfect henry hill think better actor play captures sense innocence yet time feeling violence love scene walks man house regular expression face want man asks liotta continues walking takes gun starts continually beat man skull butt gun henry walks back car face disturbing expression stays long long time martin scorsese brilliant director work fabulous recreated directors namely paul thomas anderson boogie nights reason great stuff totally deserved receive best director course rumor academy frowns scorsese use racial slurs work boo hoo get movie based true crime memoirs real life henry hill whose novel nicholas pileggi wiseguys adapted screenplay pileggi scorsese book fantastic insightful screenplay even better dialogue incredible anyway goodfellas one best films ever seen true modern classic remembered one greatest tales told screen offer refuse
630,writing review matrix hard thing film means lot therefore want film justice writing good review tell truth first time saw film enamored effects remember thinking one visually stunning films ever seen life also always comic book fan fan films larger life transitional element story appealing probably heightened enjoyment film much time later seen film times started think film recognized christian elements quite quickly wrote actual page essay film tapped philosophical religious elements made appreciate film even say recognized elements film quite literally packed acting wise film works excellently say issues overall acting pretty flawless keanu reeves plays main character neo thomas anderson perfect actor think pretty good job matrix sequels longest lines probably deliberate choice directors works gives better opportunity work posture facial expressions must say overall body language good clear well defined laurence fishbourne plays neo mentor morpheus excellent job lines flow certain confidence style makes character somewhat unique interesting carrie anne moss good job well succeeds looking cool sexy leather outfit joe pantoliano critically underrated actor brilliant job bringing character cypher life say much character pretty essential plot certainly wan spoil anyone gloria foster appears relatively small role greater significance following films good job best acting provided hugo weaving however portrayal agent smith really something watch act changes character agent smith gains human traits like anger sense dread hate eventually even sly sense humor mostly sequels two thumbs way weaving created one finest screen villains time effects wise film simply stunning deservedly awarded oscar best effects regrettably cheated nomination best film category ahead even star wars reason think matrix deserves oscar best effects simply effects matrix innovative ones star wars take look many times effects spoofed probably agree effects also help symbolism film creating dystopian atmosphere unlike one seen blade runner works brilliantly film looks beautiful times today years later god already years effects still hold ground new science fiction films add effects brilliant editing visual masterpiece hands well done reason think matrix reviewable pretty much film story philosophical religious elements story every viewing catch something see previous time watched without spoiling film think mention obvious elements obviously film draws messiah myth neo clear reference jesus analogy name neo one one also hidden name thomas anderson first part last name anderson comes greek andros meaning man combine second part last name son add little creativity come combination son man title jesus came also first time meet neo man calls quote saviour man personal jesus christ get obvious aside christianic elements film also gets inspiration budhism gnosticism gnosis knowledge also inspired plato analogy cave jean baudrillard essay simulacra simulations explaining elements would make review forever aside mentioning comment people doubt profound nature matrix give one advice free mind watch film regret choose favorite time film choice would probably fall either matrix obviously expect people agree thats great lord rings return king recommend fans sci people like philosophy top best films
631,seen kurosawa seven samurai least times still see something new every time watch see anyone especially non japanese could possibly absorb movie less viewings always surprised samurai make individual impression even understand japanese although toshiro mifune often considered star takashi shimura firmly fixed center movie guiding moral force moment appearance film capture viewer attention way similar alec guinness mifune character annoying first loutish behavior gains stature throughout film eventually becomes unifying force second shimura minoru chiaki woodcutting samurai provides subtle humor others look boost morale daisuke kato another familiar face japanese movie fans provides excellent foil shimura second command yoshio inaba good samurai recruited shimura quickly builds strong rapport seiji miyaguchi expert warrior dedicated honing skill swordsman low key yet likeable character kimura young hero worshipping samurai well love interest peasant girl wishes great samurai easily distracted field flowers pretty face peasants village defended samurai defining characteristics well addition wealth interesting characters terrific action plot defending village marauding bandits small troop samurai subtle secondary plot involving distrust samurai villagers due historical interaction two classes feudal japan plot character elements woven together unforgettable epic least opinion one absorbed single sitting similar sense another favorite epics leone upon time west complex given number characters say patience film probably well rewarded take time give multiple viewings also pleasure seeing many samurai villagers pop kurosawa films films japanese directors like mifune shimura one catch stray dog drunken angel different settings parts one without doubt
632,made hugely successful triumph casting music imagination ingenuity luck remember opening day theaters old enough remember every scene every character every nuance film committed memory forever would never able see beloved instantly loved masterpiece also remember hit factor movie unexpected wait literal months get action figures promised cereal boxes pieces still manufacturing process settle coupons promising toys months wound seeing theaters grand total times much mother dismay loved movie felt obsessed today thirty years later sitting writing review realize right still obsessed movie subsequent movies followed wait great anticipation episode fan care people say episodes even mind prequel factor situation time dictated lucas movies would first see remember studios saying choose three central climactic books trash rest trash whole idea exactly sell get movie vision see experience admired decision admire episodes filmed lucas clout money patience give vision complete vision three center books book series realize dozens books time nine happy episodes would missed personally glad taken upon give full vision enjoyed every installment sense awe joy one casting first triumph cinematic milestone ford charismatic magnetic personality portrayed han professionalism expect seasoned actors sir alec guiness absolute joy obi wan casting precise excellent part carrie fisher portrayed leia way never experienced princess types whining whimpering little snots incapable anything beyond tripping twisting ankle times peril fisher portrayed character bold brazen yet sophisticated educated woman aware surroundings capable defending realm utmost authority mark hamil perfectly cast whining little boy wanted afraid reach grows quite well film three installments endears audience much cast member almost always left reviews peter mayhew chewbacca character supporting character han exemplary easy portraying walking carpet yet holding attention admiration love virtual millions happy cast chewy episode happen deserving capable fellow bravo james earl jones voice used voice darth vader pure genius commanding voice haunted dreams countless thousands star struck children generations come also say movie would charm anthony daniels gift joy musical score john williams featured masterpiece one contributing factors honestly movie success total surprise everyone including lucas nothing could prepare world aftermath witnessed bona fide legend first hand story replete sub plot sub plot rich dialog detail beyond anyone greatest expectations everyone including lucas expected movie fail timeless classic repeat many movie reviews giving full details plot redundant beyond already said however said points would like make concerning symbolism endeavor force metaphor psychic abilities born also metaphor hope faith dedication commitment greater state empire said metaphor germanic nazi storm troopers rebellion said symbolic would later become nato forces defeated effects effects awesome creative ahead time ensure movie vast success next forty years george lucas enjoys almost god like status among sci fantasy fans worldwide movie rate rating usually say movie bad disappointing heart rate case far surpasses rating could give fiend
